id,name,price,view,city,marka,model,year,type,color,litre,weight,fuel,travel,engine,cat12,cat13
"1631","LADA (VAZ) 2107, 1.3 L, 1992 il, 42 000 km","4 200 AZN","566","Gəncə","LADA (VAZ)","2107","1992","Sedan","Ağ","1.3 L","65 a.g.","Benzin","42 000 km","Mexaniki","Arxa","Xeyr"
"1632","Chevrolet Aveo, 1.4 L, 2012 il, 194 649 km","12 000 AZN","611","Gəncə","Chevrolet","Aveo","2012","Sedan","Qara","1.4 L","100 a.g.","Benzin","194 649 km","Mexaniki","Ön","Xeyr"
"1633","Mercedes S 500, 4.7 L, 2011 il, 108 000 km","33 500 $","734","Gəncə","Mercedes","S 500","2011","Sedan","Qara","4.7 L","435 a.g.","Benzin","108 000 km","Avtomat","Tam","Xeyr"
"1634","Opel Astra, 1.4 L, 2005 il, 175 200 km","11 100 AZN","1915","Gəncə","Opel","Astra","2005","Hetçbek / Liftbek","Göy","1.4 L","90 a.g.","Benzin","175 200 km","Mexaniki","Ön","Xeyr"
"1635","Mercedes 190, 2.0 L, 1990 il, 253 000 km","6 500 AZN","1955","Gəncə","Mercedes","190","1990","Sedan","Boz","2.0 L","122 a.g.","Benzin","253 000 km","Avtomat","Arxa","Xeyr"
"1636","Mercedes Vito, 2.2 L, 2016 il, 178 000 km","52 000 $","8632","Gəncə","Mercedes","Vito","2016","Mikroavtobus","Ağ","2.2 L","163 a.g.","Dizel","178 000 km","Mexaniki","Arxa","Xeyr"
"1637","Chevrolet Cruze, 1.4 L, 2011 il, 177 028 km","13 800 AZN","1299","Gəncə","Chevrolet","Cruze","2011","Sedan","Mavi","1.4 L","141 a.g.","Benzin","177 028 km","Avtomat","Ön","Xeyr"
"1638","Ford Transit, 2.2 L, 2012 il, 195 000 km","18 900 AZN","1549","Gəncə","Ford","Transit","2012","Furqon","Qırmızı","2.2 L","125 a.g.","Dizel","195 000 km","Mexaniki","Ön","Xeyr"
"1639","Volkswagen Passat, 1.8 L, 2002 il, 321 540 km","7 200 AZN","739","Gəncə","Volkswagen","Passat","2002","Sedan","Göy","1.8 L","170 a.g.","Benzin","321 540 km","Avtomat","Ön","Xeyr"
"1640","Toyota Corolla, 1.4 L, 2007 il, 200 107 km","13 500 AZN","4076","Gəncə","Toyota","Corolla","2007","Hetçbek / Liftbek","Gümüşü","1.4 L","97 a.g.","Dizel","200 107 km","Mexaniki","Ön","Xeyr"
"1641","Opel Zafira, 1.8 L, 1999 il, 242 493 km","9 500 AZN","1276","Gəncə","Opel","Zafira","1999","Minivan","Göy","1.8 L","125 a.g.","Benzin","242 493 km","Avtomat","Ön","Xeyr"
"1642","LADA (VAZ) 2106, 1.3 L, 1987 il, 260 000 km","5 200 AZN","346","Gəncə","LADA (VAZ)","2106","1987","Sedan","Mavi","1.3 L","65 a.g.","Benzin","260 000 km","Mexaniki","Arxa","Xeyr"
"1643","Infiniti FX35, 3.5 L, 2003 il, 180 000 km","15 900 AZN","3261","Gəncə","Infiniti","FX35","2003","Offroader / SUV","Qara","3.5 L","280 a.g.","Benzin","180 000 km","Avtomat","Tam","Xeyr"
"1644","Mercedes C 180, 1.8 L, 1995 il, 365 000 km","9 200 AZN","535","Gəncə","Mercedes","C 180","1995","Sedan","Qırmızı","1.8 L","122 a.g.","Benzin","365 000 km","Avtomat","Arxa","Xeyr"
"1645","Opel Vectra, 1.8 L, 1999 il, 197 852 km","8 500 AZN","815","Gəncə","Opel","Vectra","1999","Sedan","Boz","1.8 L","125 a.g.","Benzin","197 852 km","Mexaniki","Ön","Xeyr"
"1646","Isuzu Bogdan, 4.8 L, 2007 il, 670 960 km","16 200 AZN","1022","Gəncə","Isuzu","Bogdan","2007","Avtobus","Ağ","4.8 L","170 a.g.","Dizel","670 960 km","Mexaniki","Arxa","Xeyr"
"1647","LADA (VAZ) 2107, 1.5 L, 2000 il, 200 222 km","4 400 AZN","5505","Gəncə","LADA (VAZ)","2107","2000","Sedan","Ağ","1.5 L","65 a.g.","Benzin","200 222 km","Mexaniki","Arxa","Xeyr"
"1648","Chevrolet Cruze, 1.4 L, 2011 il, 130 000 km","13 500 AZN","694","Gəncə","Chevrolet","Cruze","2011","Sedan","Göy","1.4 L","141 a.g.","Benzin","130 000 km","Avtomat","Ön","Xeyr"
"1649","LADA (VAZ) 2107, 1.6 L, 1999 il, 430 000 km","4 700 AZN","412","Gəncə","LADA (VAZ)","2107","1999","Sedan","Bənövşəyi","1.6 L","75 a.g.","Benzin","430 000 km","Mexaniki","Arxa","Xeyr"
"1650","LADA (VAZ) 2115, 1.6 L, 2012 il, 189 000 km","9 000 AZN","1028","Gəncə","LADA (VAZ)","2115","2012","Sedan","Ağ","1.6 L","80 a.g.","Benzin","189 000 km","Mexaniki","Ön","Xeyr"
"1651","Fiat Doblo, 1.9 L, 2003 il, 390 000 km","8 500 AZN","1612","Gəncə","Fiat","Doblo","2003","Minivan","Boz","1.9 L","140 a.g.","Dizel","390 000 km","Mexaniki","Ön","Xeyr"
